Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
0,,,,,,,0
0,11,,,,,,5.5
,,,,,,,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
"Dec-9

AM
A. E2M x 3 Sets:
-5 BBJO 30""
-5 STO 70%
B. Back Squat (3,2,1) RPE 7-8-9
C. Deadstop Deadlift (3,2,1) RPE 7-8-9

PM
Prep Well
+
3 Sets: (rest ~2:00 b/w)
-8 Cal Echo; strong
-4 RMU
-2 Thrusters
+
For Time
-32 Cal Echo Bike
-18 RMU
-8 Thruster 185lb
+
For Quality
-30 Cal Ski; easy
-3.3.3 sHSPU
-30 Cal Ski; easy
-3.3.3 WF HSPU
-30 Cal Ski; easy
-3.3.3 dHSPU 6""
-30 Cal Ski; easy
+
Foam Roller Routine","Dec-10

(Travel Day)

Upon Arrival:
10-15min Easy on Ergs
+
Get Comfy in an OHS (stay light)
+
Practice Pieces of Known Events (TBA)
*must limit anything with potential for soreness / lingering fatigue
+
Addtional Time Stretching Out","Dec-11

5-10min Easy Cyclical
+
5-10min Active Mobility & Mvmt Prep
+
Practice (5-7min Each)
(i) Alt Devil's Press; some light, some at 50lb
(ii) Jump Rope Variations (skip if no rope)
(iii) HSW
+
For Time @ High Effort
-12 HSPU
-12 Cal Row
-12 Hang Snatch 95lb
-12 Cal Echo
+
10min Flush
10min Static Mobility","Dec-12

Legends (Tempe, AZ)","Dec-13

Legends (Tempe, AZ)","Dec-14

Legends (Tempe, AZ)","Dec-15

Legends (Tempe, AZ)",Averages
8,7,,,,,,7.5
6,11,,,,,,8.5
280-325-360 / 355-400-450 / 4:36,"15,041 M / 30:00 C2 Bike Erg Ride",,,,,,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
"Dec-2

AM
For Time
-1000m C2 Ski
-2000m AirRunner
-3000m Echo Bike
+
Extensive Stretching for Tonight's Wko

PM
Choice C&J Warm-Up
+
Prep MetCon Mvmts
Build to 70% of CJ
+
[17:00 Clock]
4 Rounds for Time
-9 BBJO 30""
-6 Sandbag to Shoulder 150lb
-3 Rope Climbs
...
Find 1RM Clean & Jerk; remainder
+
BB RDL (3 x 12) 3s lower - RPE 6
+
Banded Shoulder Health Routine","Dec-3

AM
1k Ski; easy
+
3 Rounds
-5s.5s.5s Elevated Cat Pose
-10 DB Pull Over 15lb
-10 Tabletop Glute Bridge
+
Parallete HSPU (6 x 3)
*start with hands @ head level and increase deficit each set, ending tough
+
5 Rounds for Time (11:00 Cap)
-5 Complexes: WW + WF HSPU
-10 DB Squats 70/Hand
+
DB Bench Press (3 x 10) 70/Hand
+
Accumulate 2:00 in Seated Biceps Stretch","Dec-4

AM
A. Snatch Warm-Up 3.0
B. OHS (6,4,2,2,1,1)
*start light, end heavy
C. EMOM 12:00
1) 2 LLRC
2) 11 Ring Dip
3) 50 Double Under
D. Desk Athlete Mobility Checklist

PM
20:00 Cyclical; Easy, Nasal
*rotate machines every 2:30
+
8 Rounds for Time (8:00 Cap)
-8 BJO 24""
-6 Toes-to-Bar
-4 DB Snatch 100lb
+
15:00 AirBike @ Recovery Pace
*every 90s (+0:00): 15s @ Max Effort
...
5min Flush","Dec-5

AM (Pool)
5 Rounds for Time
-100m Swim
-10 Burpees","Oct-17

(recovery)

2k Row @ Cruise Pace
+
A1. Patrick Step-Up (4 x 6ea)
A2. Standing Hamstring Curls with End Range Isometric (4 x 6ea)
B1. Assisted Sissy Squats (3 x 4)
B2. Glute Ham Raise (3 x 4)
C1. Cossack Squats (3 x 8)
C2. Toe-Drag Step-Up (4 x 4/4) 20""
D1. Banded Side Step-Up (3 x 0:45)
D2. ATG Split Squat (3 x 5ea)
E1. Tib Raise (3 x 15)
E2. Calf Raise (3 x 15)
F1. Zercher Good AM (3 x 8)
F2. Sumo Good AM (3 x 8)
F3. Squatting Groin Stretch (3 x 20s)
G1. Tabletop Glute Bridge (3 x 10)
G2. Supinated Dead Hang (3 x 20s)
G3. PVC Dislocate (3 x 10) 2.5lb
+
2k Row @ Cruise Pace","Dec-7

AM
10:00 Easy AirBike
-E90s(+0:00): 20s @ Strong Pace
+
3 Rounds
-30s Frog Stretch; rocking gently
-10 Alternating Lizards
-10 90-90 Hip Rotations
-20s Overhead Opener; Hands-on-Wall
-1 Wall Walk + 5s Overhead Opener
+
Complete @ Workout Pace
-20/15 Calorie AirBike
-8 Sandbag Squats 150/100lb
-15-50ft Handstand Walk (or) 1-3 Wall Walks
+
""Kardashian""
(Repeat of Workout 139)
AMRAP 10:00
-90/70 Calorie AirBike 
-50 Sandbag Squats* 150/100lb
-Max Handstand Walk**
*sandbag may be held however
**every 5ft = 1 rep
**scale to Wall Walks
+
4 Sets:
-8 DB Bent Over Row / arm
-6 Single Arm DB sPress / arm

PM (or) Tomorrow
Swim Session
*keep volume low
*build to a few fast 100m with sufficient rest b/w","Dec-8

(rest)

10min Hip & Shoulder Mobility
+
Accumulate 5min in bottom of passive squat
+
7min Supine Breathing @ 3060 Cadence",Averages
0,7,9,,6,6,,5.333333333
0,7.5,7,,8,7,,4.833333333
"18:00 (4:03 - 9:10 - 4:47) — lungs took a step back today. Hopefully tonight they will be stronger. / 10:40 -- 270 -- lungs were better, but that workout was still a bear. Reminiscent of the last workout on day 1 at the games. Funky setup given the up/downstairs requirement, but ultimately it worked out reasonably well.","👍 / 10:15 — One of the most painful workouts in a while. Different kind of pain, but intense. / 👍",135-175-195-215-235-250 / 7:38,,Snatch 1.1.1 95-115-135-155-175-190-205 / 90 - cap + 9,161,,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
"Nov-25

AM
1k BikeErg; easy
400m Run; easy
Prep Sandbag
Rehearsal Round(s), your choice
+
For Total Sandbag Reps
[0:00-6:00]
1k Run
Max Sandbag Clean 150lb
[10:00-16:00]
1k Run
Max Sandbag Squat 150lb
+
10min Erg-Based Flush
Hip Flexor Mobility Checklist

PM
1k Ski @ Ramping Pace
+
4 Rounds
-5s.5s.5s Elevated Cat Pose End Range Isometrics / way
-8 Ring Rows
-8 DB Pull Over 15lb
+
[0:00-8:00] 
Freestanding Handstand Hold Practice
[8:00-16:00]
HS Hold on Parallettes
+
A. OHS (5 x 3) 2s lower; RPE 7 --> 8.5
B. E2M x 7 Sets: 15s Max kHSPU; 6"" Deficit
C. Parallel Dip (2 x AMRAP-1) rest 3min
D. Lu Raise (10,15,AMRAP) rest 90s, 15/Hand
E. Banded External Rotations (3 x 8 / side)","Nov-26

AM
Prep All Mvmts Well
+
EMOM 24-30:00
1) 1 Max Handstand Hold in 4x4' Box (20s Cap)
2) 7 Lateral BBJO; step down 24""
3) x2: WW + WF HSPU
4) x2: Pull Over + BMU
5) 8s L-Sit + 8 Lateral Burpee Over Bar
6) 10 TnG Snatch 65lb
+
Shoulder Mobility Checklist


PM
A. Hinge / Hip Dissociation Routine
B. E90s x 5 Sets: 100m AirRunner
*start smooth, end @ sprint
C1. Broad Jump (4 x 1.1) @ Max Effort
C2. Banded Front Rack Stretch (4 x 20s / side)
C3. Inchworm Plank (4 x 3) for distance
D. Push Jerk: Build to Tough Double
*not a max - moblize b/w sets
E. CL + HC + FS + SJ: Find Heavy Complex
F. For Time
-50 GHD
-5 HSW Lengths (25ft)
-50 Cal Echo
-50 GHD
-5 Burpee Broad Jump Lengths (25ft)
-50 Cal Echo
G. Flush + Choice Mobility Work","Nov-27

AM
Desk Athlete Mobility Checklist
+
2 Rounds
-1:30 Couch Stretch; leg 1
-1:00 Seated Biceps Stretch
-1:30 Couch Stretch; leg 2
-1:00 Seated Biceps Stretch

PM
2 Rounds
-5 Blackburns
-5s.5s.5s Elevated Cat Isometrics
+
2 Rounds
-8 KB Arm Bar / side 35lb
-8 DB Pullover 15lb
-8 PVC Dislocate
+
2 Rounds
-1 Turkish Get Up / side 35lb
-8 Straight Arm DB Pec Fly 10's
-12 Banded Lat Row
+
A. DB OHS (2 x 4/4)
*light to moderate
*2min of mobility after each set
B. Dual DB OH Walking Lunge (2 x 25ft) 50/Hand
C. DB Alt Squat Snatch (2 x 6) 50lb
D. Snatch (4 x 1.1)
*start @ 70% and build each set
*end heavy but on a win
E. 8min to Find Heavy Back Squat Double
F. Pin Strict Press (5 x 3) Build to 3RM
G. 5 Rounds for Time
-15 Power Snatch 95lb
-21 Row Cals
H. Banded Shoulder Health Routine","Nov-28

(choice swim session)","Nov-29

AM
Prep as Needed
+
For Time
-150 Calorie Run
-150ft HSW
-150 Calorie Run
+
15min Hip & Shoulder Centric Mobility

PM
5 Rounds
-1:00 Row; easy
-20s T-Spine Opener
-10 Tabletop Glute Bridge
-10 DB Pull Over 15lb
+
E2M x 4 Sets:
-3 Back Squat* 60%
*AFAP on the Raise, pause rep 1
-4 Box Jump, Step Down to high box; from Seated
+
[20:00 Clock]
Back Squat: Build to Heavy Single
*after each set: 1 LLRC
+
For Time
-50 Goblet Box Step-Over 70lb, 20""
-20 Ring Muscle-Up
-50 Wall Ball 20lb, 11ft
-20 Bar Muscle-Up
+
Cuban Press (3 x 5/5) 5lb
10min Choice Mobility","Nov-30

3:00 Choice of Cardio @ Warm-Up Pace
+
Neurological Wake Up: 2 Rounds
- 2 Depth Drops, Stick landing for 2s
- 45s Goblet Squat Hold
- 2/2 Staggered Stance Rotational Medball Slams, 10/6 lbs
- 20s Deadhang
+
3 Rounds
- 5/5 90/90 Seated Hip Rotations
- 15 Band Pull Aparts
- 5/5 Box Step Ups with controlled lowering, 24/20""
- 5/5 Single Arm DB OHP, Light 
+
LCA C&J Warm-Up (x2)
*5min choice joint prep b/w
+
[20:00 Clock]
Heavy TnG Power Clean Triple
+
Complete 2 Rounds @ Workout Pace
- 6 Shoulder to Overhead 95/65 lb
- 4 Box Jump Overs 24/20"" 
+
""Popcorn""
AMRAP 12:00
9...12...15...
-Shoulder-to-Overhead 95/65lb
5...10...15...
-Box Jump Overs 24/20""
+
5-10 min Cyclical Flush
+
(extra credit)
Accumulate...
-100 GHD Sit-Up
-50 Strict Pull-Up
-25 KB Windmill / arm; moderate
+
2 rounds
-30s Couch Stretch
-30s Elevated Cat Pose with Pulses","Dec-1

(rest)

10min Hip & Shoulder Mobility
+
Accumulate 5min in bottom of passive squat
+
7min Supine Breathing @ 3060 Cadence",Averages
7,7,7,,6,9,,7
8,7,5,,5,8,,6.666666667
Sandbag: 13-20 / OHS 175-195-105-205-215 / 5-6-5-6-7-7-7 HSPU / 25-25 Dips,17min 46sec,50-60 / 154-176-191-208(F-F-F-F-👍👍) -11:53 metcon,,Travel day today. And a little worse for wear from the holiday. Glad I got the PM metcon done. Was all I could do to plan and execute that. Will be a nice on-ramp for tomorrow's stuff. 13:46,"135-155-175-195-210-225-240-250-260 / 272 / 30-25-20-15-10 GHD (tough, but UB) - 15-12-10-8-5 sPUs - 5/5 x 5 Arm Bars",,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
"Nov-18

PM
15:00 AirBike; easy
+
3 Rounds
-20s Overhead Opener
-20s Biceps Stretch
-20s HSH Against Wall
-5 Push-Ups
+
Dual DB sPress
(4 x 4) heavy
(3 x AMRAP-1) 25/Hand
+
EMOM 16:00
1) 2 sPU + 2 Pull Overs + 2 BMU
2) 8s L-Sit + 2 Wall Walk
3) 40 Double Under; AFAP
4) 8 STO; from the rack 135lb
+
4 Rounds
-3:00 Easy Cyclical
-2:00 Choice Mobility Work","Nov-19

AM
Spine Health Routine
Desk Athlete Mobility Checklist

PM
A. Hinge / Hip Dissociation Routine
B. E90s x 5 Sets: 100m AirRunner
*start smooth, end @ sprint
C1. Box Jump (4 x 4) 30""
C2. Banded Front Rack Stretch (4 x 20s / side)
C3. Inchworm Plank (4 x 3) for distance
D. Dual KB Front Squat (4 x 6-8) 70/Hand, 3s lower
E. For Time
-50 Cal Echo
-50 Chest-to-Bar
-50 Cal Echo
F. Flush + Choice Mobility Work","Nov-20

AM
Desk Athlete Mobility Checklist
3:00 Couch Stretch; leg 1
1:00 Seated Biceps Stretch
3:00 Couch Stretch; leg 2
1:00 Seated Biceps Stretch

PM
3 Rounds
-5 Blackburns
-5s.5s.5s Elevated Cat Isometrics
+
3 Rounds
-8 KB Arm Bar / side 35lb
-8 DB Pullover 15lb
-8 PVC Dislocate
+
3 Rounds
-1 Turkish Get Up / side 35lb
-8 Straight Arm DB Pec Fly 10's
-12 Banded Lat Row
+
A. DB OHS (3 x 4/4)
*light to moderate
*2min of mobility after each set
B. Dual DB OH Walking Lunge (3 x 25ft) 50/Hand
C. Snatch (5 x 1.1.1)
*start @ 70% and build each set
*end heavy but on a win
D. Pin Strict Press (5 x 5) Build to 5RM
E. 5 Rounds for Time
-15 Cal Ski
-15 Low Ring Push-Up
-15 Toes-to-Bar
-Rest 1:00-
F. Banded Shoulder Health Routine","Nov-21

(swim session)

*keep it as easy as you can manage, let me know what you do","Nov-22

AM
Prep as Needed
+
5k Run @ Nasal Cap
+
15min Hip & Shoulder Centric Mobility

PM
5 Rounds
-1:00 Row; easy
-20s T-Spine Opener
-10 Tabletop Glute Bridge
-10 DB Pull Over 15lb
+
HSW (4 x 25ft) for ease
+
Squat Prep Routine 1
+
Back Squat (8 x 2) RPE 8-8.5 All
+
For Total Reps
3 Rounds of 3:00 Each
(No Rest b/w)
-15 Cal Row
-2 LLRC + 2 RC
-Max Heavy DU
+
Cuban Press (3 x 5/5) 5lb
10min Choice Mobility","Nov-23

3 Rounds @ Warm-Up Pace
-15/12 Calorie AirBike
-30 Single Unders
-15/12 Calorie Row
-30 Speed Steps
+
A1. Saddle Pose (2 x 30s)
A2. Elevated Achilles Stretch (2 x 20s / side)
A3. Cook Hip Lift (2 x 3ea) 2s pause at end range
B1. Squatting Groin Stretch (2 x 20s)
B2. Banded Front Rack Stretch (2 x 20s ea)
B3. DB Squats (2 x 5) 3s lower - 50/35lb per Hand
C1. Elevated Cat Pose with Fingers Interlocked (3 x 20s)
C2. Single DB Hang to Overhead (3 x 5 ea) at wko wt 
*pause 3s in the front rack and 3s overhead on each rep
D1. Forward Fold Pulses (3 x 15)
*feet in DB snatch stance, hands narrow
D2. DB Snatch (3 x 4) 50/35lb per Hand
D3. Down Dog (3 x 20s)
D4. Dual DB Hang Clean & Jerk (3 x 4) 50/35's
+
Rehearsal; Complete @ Wko Pace
2 Rounds
-5 DB Squats
-25 Single Unders
(Rest 30s)
2 Rounds
-4 DB Hang-to-Overhead
-25 Speed Steps
(Rest 30s)
2 Rounds
-3 Dbl DB Snatch
-25 Double Unders
+
""Double Dutch""
(Repeat of Workout 86)
AMRAP 4:00
-9 DB Squats*
-54 Single Unders
(Rest 1:00)
AMRAP 4:00
-9 DB Hang-to-Overhead*
-54 Speed Steps
(Rest 1:00)
AMRAP 4:00
-9 DB Snatch*
-54 Double Unders
*50/35lb per Hand
[score is total reps]
+
[Strength]
[0:00-15:00]
Build to 3RM Hang Squat Clean
[15:00-30:00]
Build to 3RM Supinated sPU
[30:00-45:00]
Build to 3RM Parallel Dip
+
[20:00 Clock]
Handstand Play
*Every 3:00 (-0:00): 3 Bench Press; RPE 5 --> 8.5 
+
-Elbows-in-Rings Chest Stretch
-Calf Stair Stretch 
-Roll Out Quads","Nov-24

(rest)

10min Hip & Shoulder Mobility
+
Accumulate 5min in bottom of passive squat
+
7min Supine Breathing @ 3060 Cadence",Averages
7,8,8,8,,,,7.666666667
8,7,6.5,6.6,,,,7.166666667
"4:30 run, 26 cleans. / 50-55-55-55 4 x 4 — 31-25-23 / 👍","8:39 — ~400 W first 50 cals, 15-10-10-8-4-3 C2B, >= 300 W 2nd time",50-60-65-70 / 155-170-185-195 (1F)-205(1F) /1:52-2:02-2:16-2:22-2:22,10 x 50M on the 1:30 / 5 x 100M on the 3:20 (1:39-1:35-1:39-1:38-1:38),5 x 2 @ 320 (hammies were exceptionally smoked) / 50-30-23 DUs,4+3–3+3–2+0 / 185-205-225-245,,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
"Nov-11

AM
1k BikeErg; easy
400m Run; easy
Choice Run Prep / Mobility
+
4 Sets @ 80-85-90-95% Effort
(rest 2:00 b/w)
-21 Calorie Run
-15 DB Thrusters 35-40-45-50/Hand
-21 Calorie Run
+
Hip Flexor Mobility Checklist

PM
1k Ski @ Ramping Pace
+
4 Rounds
-5s.5s.5s Elevated Cat Pose End Range Isometrics / way
-8 Ring Rows
-8 DB Pull Over 15lb
+
[0:00-15:00]
Handstand Walk over Staircase*
*make progressively harder out of stacks of plates, etc.
[15:00-25:00]
Establish Max Unbroken Handstand Hold in 4x4ft Box
+
A. OHS (4 x 4) 2s lower; RPE 8
B. E3M x 5 Sets: 18s Max kHSPU; 10"" Deficit
C. 5 Rounds for Quality
-10 Parallel Dip
-10-15 Cable Tricep Extensions; heavy
-10-15 DB Lateral Raise 15/Hand
-10 Banded External Rotations / side","Nov-12

AM
Prep All Mvmts Well
+
EMOM 30-36:00
1) 5 Cluster Singles - 135lb
2) 2x20ft HSW
3) 6 GHD w/ 20lb Ball + 1 Rope Climb in 2 pulls
4) 6 Burpee Box Jump Over 30""
5) 3 RMU + 5 Dips
6) 12 DB OH WL 50 (6L+6R)
+
Shoulder Mobility Checklist

PM
A. Hinge / Hip Dissociation Routine
B. E90s x 5 Sets: 100m AirRunner
*start smooth, end @ sprint
C1. Broad Jump (4 x 1.1) @ Max Effort
C2. Banded Front Rack Stretch (4 x 20s / side)
C3. Inchworm Plank (4 x 3) for distance
D. E3M x 5 Sets:
-2 FS; 50-60-70-80~90%
-4 RMU
E. For Time @ High Effort
For Time // 18-15-12
-Bar-Facing Burpee 
-Power Clean 115lb
F. 3-4 Rounds
-20s Wrist Stretch
-30s Couch Stretch / side
-45s Overhead Opener
-30s Seated Biceps Stretch
-45s Frog Stretch","Nov-13

AM
Desk Athlete Mobility Checklist
3:00 Couch Stretch; leg 1
1:00 Seated Biceps Stretch
3:00 Couch Stretch; leg 2
1:00 Seated Biceps Stretch

PM
3 Rounds
-5 Blackburns
-5s.5s.5s Elevated Cat Isometrics
+
3 Rounds
-8 KB Arm Bar / side 35lb
-8 DB Pullover 15lb
-8 PVC Dislocate
+
3 Rounds
-1 Turkish Get Up / side 35lb
-8 Straight Arm DB Pec Fly 10's
-12 Banded Lat Row
+
A. DB OHS (4 x 4/4)
*light to moderate
*2min of mobility after each set
B. Dual DB OH Walking Lunge (4 x 25ft) 50/Hand
C. Snatch + Hang Snatch (6 Sets) 
*start at 155 and build to tough complex
*only push the loads if positions feel good today
D. SJ; from the rack (4 x 1) 245
F1. Low Ring Push-Up (5 x AMRAP-1)
F2. Neutral Grip Lat Pull Down (5 x 8) AHAP
G. For Time
-30 Cal Ski
-30 DB STO 50/Hand
-30 Cal Row
-30 Wall Ball 30lb, 10ft
H. Banded Shoulder Health Routine","Nov-14

(swim session)

*keep it as easy as you can manage","Nov-15

AM
x4: 40s Row, 20s Rest
...
x4: 30s Jog, 30s Walk
...
x4: 20s Run, 40s Walk; moderate pace
+
3 Rounds
-5/5 Cook Hip Lift
-5/5 Half Kneeling KB Hip Opener
+
""Triple 3"" @ 80% Effort
3,000 meter Row
300 Double-Unders
3 mile Run
*goal is good aerobic dose without ""digging"" into your nervous system
+
Hip Flexor Mobility Checklist

PM
5 Rounds
-1:00 Row; easy
-20s T-Spine Opener
-10 Tabletop Glute Bridge
-10 DB Pull Over 15lb
+
HSW (4 x 35ft) full rest b/w
+
Squat Prep Routine 1
+
Back Squat: Build to Heavy Triple
Then (3 x AMRAP-2) 90% of that triple
+
3 Rounds for Time
-12 Burpee over Yoke Crossmember
-35ft Yoke Carry; 45/corner
-8 Sandbag Over Yoke 150lb
-35ft Yoke Carry; 45/corner
*set crossmember to 40""
+
Cuban Press (3 x 5/5) 5lb
10min Choice Mobility","Nov-16

EMOM 6:00
1) Erg 1; easy, nasal
2) Erg 2; easy, nasal
3) Erg 3; easy, nasal
+
A1. Calf Stretch; Using Rig (3 x 10s ea)
A2. Sqautting Sky Reach (3 x 8-10)
A3. Elevated Cat Pose; Using Rig (3 x 15s)
A4. Goblet Squat (3 x 3) 3s lower, 3s lower
B1. KB Windmill + OHS (3 x 3 complexes / arm)
B2. PVC Dislocates (3 x 8-10)
C1. Power Snatch + Pausing OHS (3 x 3+3) empty bar
C2. Tuck Jumps (3 x 5) @ Max Effort
D. EMOM 9
*min 1-3: 2 Snatch Pull Under + 1 OHS with 8s pause; empty bar
*min 4-6: 3-Position Snatch + 2 Snatch Drops; empty bar
*min 7-9: Snatch High Pull + Power Snatch + Pausing Snatch Balance; light
E. Squat Snatch (3 x 1.1.1) 65-70-75%
*rep 1 with slow pull til the knee
*rep 2 with 2s pause in the catch
*rep 3 normal
F. OHS (5 x 1) Build to Heavy Single
G. Rehearsal
Complete 2 Rounds @ Workout Pace
-3 sHSPU
-4 Pistols
-7 TTB
+
""Mary Me”
(Repeat of Workout 48)
AMRAP 15:00
-5 sHSPU
-8 Pistols
-13 Toes-to-Bar
+
Banded Shoulder Health Routine
5min Flush
Foam Roller Routine","Nov-17

(rest)

10min Hip & Shoulder Mobility
+
Accumulate 5min in bottom of passive squat
+
7min Supine Breathing @ 3060 Cadence",Averages
8,7,8,8,6,7,,7.666666667
8.5,,7,7.5,5,7,,7.75
3:01-3:00-3:06-3:16 (UB thrusters throughout) / 200# OHS / 2-2-2-2-2,Did EMOM 30. Then I died,50-50-60-60 / 👍 / 155-175-175-186-195-205(F)-205(1) / 👍 / 5:37 (20-10 S2O — 20-5-5 WBs),10 x 50M on the 1:30 / 5 x 100M on the 3 minutes (1:39-1:33-1:36-1:40-1:41),"44:36 (1:52 row, 50s on the DUs, easy run uptown and back) / 8:59",8+0,,
,~ 1:52 ski / ~ 1:42 row 60,s,,"44:36 ran (1:52.5 / 500M Row, 50s on the DUs, easy pace on the street) / 8:59",,,
"Nov-4

AM
1k BikeErg; easy
400m Run; easy
Choice Run Prep / Mobility
+
4 Sets @ 85-90% Effort
(rest 2:00 b/w)
-21 Calorie Ski
-15 BBJO 24""
-21 Calorie Run
+
Hip Flexor Mobility Checklist

PM
1k Ski @ Ramping Pace
+
4 Rounds
-5s.5s.5s Elevated Cat Pose End Range Isometrics / way
-8 Ring Rows
-8 DB Pull Over 15lb
+
[0:00-8:00] 
Freestanding Handstand Hold Practice
[8:00-16:00]
Freestanding HSPU Practice
[16:00-24:00]
5-10-5ft Handstand Walk with 180 Degree Pirouettes
+
A. OHS (5 x 4) 2s lower; RPE 7
B. Every 2:30 x 5 Sets: 15s Max kHSPU; 8"" Deficit
C. 4 Rounds for Quality
-10 Parallel Dip
-10-15 Cable Tricep Extensions; heavy
-10-15 DB Lateral Raise 15/Hand
-10 Banded External Rotations / side","Nov-5

AM
Prep All Mvmts Well
+
EMOM 30-36:00
1) 8 TnG Power Clean 135lb
2) 30ft HSW
3) 15 Wall Ball 20lb, 10ft
4) 6 Toes-to-Rings + 6 Ring Dips; on high rings
5) 8 BJO/SD 24""
6) 3 COB + 3 CTB + 3 BMU; unbroken complex
+
Shoulder Mobility Checklist

PM
A. Hinge / Hip Dissociation Routine
B. E90s x 5 Sets: 100m AirRunner
*start smooth, end @ sprint
C1. Broad Jump (4 x 1.1) @ Max Effort
C2. Banded Front Rack Stretch (4 x 20s / side)
C3. Inchworm Plank (4 x 3) for distance
D. Clean + 3 Front Squats (5 Sets)
*set 1 at 75% of CL
*final set @ RPE 9
*2 rmu after each set, then full rest
E. For Time (12:00 Cap) 
-60 GHD Sit-Ups 
-45 DB Lunge 50/35’s 
-30 Snatch 95/65lb 
-15 Ring Muscle-Up
*hold DBs anyhow
F. 3-4 Rounds
-20s Wrist Stretch
-30s Couch Stretch / side
-45s Overhead Opener
-30s Seated Biceps Stretch
-45s Frog Stretch","Nov-6

AM
Desk Athlete Mobility Checklist
+
3:00 Couch Stretch; leg 1
1:00 Seated Biceps Stretch
3:00 Couch Stretch; leg 2
1:00 Seated Biceps Stretch

PM
3 Rounds
-5 Blackburns
-5s.5s.5s Elevated Cat Isometrics
+
3 Rounds
-8 KB Arm Bar / side 35lb
-8 DB Pullover 15lb
+
3 Rounds
-8 Straight Arm DB Pec Fly 10's
-12 Banded Lat Row
-8 PVC Dislocate
+
A. DB OHS (4 x 4/4)
*light to moderate
*2min of mobility after each set
B. Dual DB OH Walking Lunge (4 x 25ft) 35-40-45-50/Hand
C. Hang Squat Snatch (6 x 2) 165
*pause 2s in the catch / ohs of rep 1
D. PJ + SJ (3 Sets) 205-225-235
E. SJ (4 x 1) 245-255-265-heavy
F1. Supinated Lat Pull Down (3 x 8) AHAP
F2. DB Bench Press (2 x 10) 80/Hand
*top to top with DBs touching torso
G. For Time @ High Effort
-30 DL 225
-30 BFB
+
Banded Shoulder Health Routine","Nov-7

(recovery)

A. EMOM 16-20:00 
1) 45s Erg 1; Easy, Nasal 
2) 25s Sorenson + 15s GHD Hold at Parallel 
3) 45s Erg 2; Easy, Nasal 
4) 25s Sorenson + 15s GHD Hold at Parallel 
+ 
B. EMOM 16-20:00 
1) 25s Side Plank / side 
2) 45s Banded Side Step 
3) 8 Bulgarian Ring Row + 8 Banded Face Pulls 
3) 4 Toe-Drag Box Step-Up / leg 
+ 
C. O2 Reload 
4-8 Rounds 
-3:00 Choice Cyclical @ Zone 1 
-2:00 Foam Roll; Choice Muscle Groups","Nov-8

(recovery)

AM
Spine Health Routine
+
Blackburns (4 x 4)
+
TGU (4 x 1ea) 35lb
+
3 Rounds; Nasal, Smooth
-5:00 AirBike
-5:00 Row
-5:00 Ski
+
Desk Athlete Mobility Checklist
10-15min OHS Mobility

PM
5 Rounds
-1:00 Row; easy
-20s T-Spine Opener
-10 Tabletop Glute Bridge
-10 DB Pull Over 15lb
+
6 Rounds
-500m Row; easy, nasal
-25ft HSW
-Rest 1:00-
+
Cuban Press (3 x 5/5) 5lb
10min Choice Mobility","Nov-9

A. 12 minute Ski
*every 3 minutes, including minute 0, perform:
-10 cat cows
-10 bird dogs
-20 second leaning wrist stretch
-10 Glute Bridges
+
B. 3 rounds:
-12 calf raises
-30 second calf stretch / side
-3-5 Rope Pull-ups
-10 Banded Good Mornings
+
C. LCA Snatch Warm-Up: Hang High Pull (3) BTN Push Press (3) Hang Power Snatch (3) Overhead Squat (3) Power Snatch (3) Overhead Squat (3) Squat Snatch (3)
+
EMOM 18:00
1) 1 Snatch High Pull + 1 Snatch* + 3/3 DB OHS - heavy
2) 2 Back Squats; build to RPE 9
3) 10s Max RMU
*start ~70% & build to ~90%
+
D. Rehearsal:
2 rounds:
-100m run
-1 Rope Climb
-2 Sandbag over shoulder
-50' Sandbag carry
-Rest as needed between rounds
+
""Smith & Wesson""
[Complete in 20/14# Weight Vest]
AMRAP 10:00
-100m Run
-1 Rope Climb 15ft
-5 Sandbag Over Shoulder 150/100lb
-200m Run
-2 Rope Climbs 15ft
-5 Sandbag Over Shoulder
-400m Run
-4 Rope Climbs 15ft
-Max Bearhug Sandbag Carry in Remainder*
*50ft Sandbag Lengths (50ft = 1 Rep)
+
(extra credit)
EMOM 15:00
1) 15s Box Jump Over 30/24""
2) 15s Sandbag over Yoke* 150/100lb to 45""
3) 15s Ski @ Strong Pace
*sub bar banded to the j-cups in a rack","Nov-10

(rest)

10min Hip & Shoulder Mobility
+
Accumulate 5min in bottom of passive squat
+
7min Supine Breathing @ 3060 Cadence",Averages
8,,,,,,,8
7.25,,,,,,,7.25
"3:33-3:33-3:31-3:34 — tough, but solid / 175 / 3-4-3-3-4",,,,,,,
,~ 1:52 ski / ~ 1:42 row 60,s,,,,,
